epoch,phase,loss,accuracy
0,train,2.272192074110541,0.1506374940972769
0,val,2.1892356089086777,0.21246458923512748
1,train,2.0883592747898905,0.26648827325672914
1,val,2.0015486374117497,0.34985835694050993
2,train,1.8444604288775508,0.3757280025184952
2,val,1.7233160811848411,0.45184135977337114
3,train,1.5965358481038636,0.4637179285376987
3,val,1.4774836886030418,0.5297450424929179
4,train,1.3730368755679234,0.5372265071619707
4,val,1.3042753532993219,0.5821529745042493
5,train,1.2156386297930888,0.5924759955926334
5,val,1.1564237355510507,0.6430594900849859
6,train,1.0796519164755347,0.6420588698252794
6,val,1.0492018704373842,0.6898016997167139
7,train,1.0127010120850894,0.6691326932158036
7,val,1.0270037063458148,0.6997167138810199
8,train,0.9959605059510382,0.6744844955139304
8,val,1.0275754955605136,0.6855524079320113
9,train,0.9788661683129266,0.6829844168109555
9,val,1.0163950021814017,0.6997167138810199
10,train,0.9837761585888442,0.6768455847631041
10,val,1.0123736196469315,0.6968838526912181
11,train,0.9799586998446239,0.6810955454116165
11,val,0.9904955412780935,0.7011331444759207
12,train,0.9820341185736841,0.6779474264127184
12,val,0.9889392596128642,0.7053824362606232
13,train,0.9593025481027261,0.6899102786085314
13,val,0.9825726828561626,0.7053824362606232
14,train,0.957795861085231,0.683928852510625
14,val,0.9820348980068823,0.7110481586402266
15,train,0.9502131214540398,0.683614040610735
15,val,0.976409714890607,0.7124645892351276
16,train,0.9491273426135168,0.6851881001101842
16,val,0.9802347911316004,0.7039660056657224
17,train,0.9379959334243325,0.6979379820557218
17,val,0.9732883628299486,0.7152974504249292
18,train,0.9406691866935791,0.6976231701558319
18,val,0.9737188822824624,0.7096317280453258
19,train,0.9432781284744488,0.7004564772548403
19,val,0.9800545976790085,0.708215297450425
20,train,0.9498345246563441,0.6917991500078703
20,val,0.9664629498554694,0.718130311614731
21,train,0.9415762577772928,0.6935306154572642
21,val,0.9785693745437493,0.7096317280453258
22,train,0.948442145602714,0.6925861797575948
22,val,0.9776090231563147,0.708215297450425
23,train,0.9459792665096975,0.6917991500078703
23,val,0.9811507558012144,0.7039660056657224
24,train,0.9558408005714567,0.6921139619077601
24,val,0.9697742489174472,0.7110481586402266
