epoch,phase,loss,accuracy
0,train,0.5681229875291518,0.8318904454588384
0,val,0.735122767791532,0.7662889518413598
1,train,0.5500576183418017,0.8364552180072407
1,val,0.7434472274510111,0.7450424929178471
2,train,0.5555696269761441,0.8344089406579569
2,val,0.7354956821409231,0.7620396600566572
3,train,0.5622749316369607,0.8312608216590587
3,val,0.7453868453293279,0.7577903682719547
4,train,0.557445774688395,0.8336219109082323
4,val,0.7096985892601121,0.7662889518413598
5,train,0.5521602913298682,0.837557059656855
5,val,0.7354446159881506,0.7606232294617564
6,train,0.5539951179790512,0.8353533763576263
6,val,0.7239835201511977,0.7691218130311616
7,train,0.5634485701491622,0.8350385644577365
7,val,0.7400598850196212,0.7677053824362606
8,train,0.5578135329119975,0.8344089406579569
8,val,0.7223646917694351,0.7677053824362606
9,train,0.5598412616861236,0.8366126239571856
9,val,0.7525698618578168,0.7620396600566572
10,train,0.5556402752648258,0.8356681882575161
10,val,0.7363366094594637,0.7677053824362606
11,train,0.5534946972153308,0.8348811585077917
11,val,0.7276457781156804,0.7606232294617564
12,train,0.5498537651604599,0.8399181489060287
12,val,0.7291645909166201,0.7634560906515581
13,train,0.5463287226331529,0.8370848418070204
13,val,0.7203232553120038,0.7677053824362606
14,train,0.5553414467918616,0.8366126239571856
14,val,0.7436055728463884,0.7606232294617564
15,train,0.5547109060300235,0.8347237525578467
15,val,0.7382542857367324,0.7563739376770539
16,train,0.5519572074969097,0.835983000157406
16,val,0.738205367377392,0.764872521246459
17,train,0.555209451006582,0.8344089406579569
17,val,0.733015622363212,0.7620396600566572
18,train,0.5623072261756261,0.8315756335589486
18,val,0.7570621008238103,0.7422096317280453
19,train,0.5466855054443583,0.8328348811585078
19,val,0.7375271620899017,0.7577903682719547
20,train,0.55279870477414,0.8364552180072407
20,val,0.7370938971089912,0.7592067988668556
21,train,0.5503283883574702,0.8391311191563041
21,val,0.7218182627269972,0.774787535410765
22,train,0.5539148240113435,0.8381866834566347
22,val,0.7193596643361424,0.774787535410765
23,train,0.5509706541354049,0.835983000157406
23,val,0.7318571167694611,0.7662889518413598
24,train,0.558526922094152,0.8334645049582874
24,val,0.729705313785218,0.7592067988668556
